step,correctness,token_count,logprob,logprob_min,logprob_max,prob,prob_min,prob_max,entropy,entropy_min,entropy_max,eos_prob,eos_prob_min,eos_prob_max,top1_prob,top1_prob_min,top1_prob_max,topk_mass,topk_mass_min,topk_mass_max
0,correct,7355,-0.27760111932484255,-15.909318923950195,0.0,0.872252908883789,1.2321699216499837e-07,1.0,0.28301401214349575,6.06236483235989e-08,4.285844802856445,1.8129199068611617e-05,7.429863316893383e-17,0.11807463318109512,0.9064630105828121,0.08850286900997162,1.0,0.9939983372133983,0.5093221664428711,1.000000238418579
0,wrong,17523,-0.6345163627233821,-16.43549346923828,0.0,0.8039148696792818,7.28041129605117e-08,1.0,0.6330883697377415,2.473071400443949e-11,9.74621868133545,0.00014399864121501872,1.3550037859412904e-19,0.7293762564659119,0.8488328116099532,0.007959364913403988,1.0,0.9594560977200568,0.040557555854320526,1.000000238418579
60,correct,5324,-0.34811921981752014,-11.488039016723633,0.0,0.8419609218293214,1.0251987987430766e-05,1.0,0.3455526855877448,5.3865121252272274e-09,3.7566580772399902,1.2678270986213838e-06,2.2705599065416665e-15,0.004690755158662796,0.8844873596466993,0.11676475405693054,1.0,0.9927258793569704,0.5381753444671631,1.000000238418579
60,wrong,15902,-0.2647089686139964,-16.11589241027832,0.0,0.8769278763816195,1.0022056784464439e-07,1.0,0.2658540507205799,2.6871934011296617e-08,8.817752838134766,4.163648079482673e-05,2.4691193053942107e-16,0.3736845850944519,0.9110693348014809,0.05760783702135086,1.0,0.9951028121205909,0.16750448942184448,1.000000238418579
120,correct,6411,-0.27791290698181714,-14.712813377380371,0.0,0.8667503584864122,4.076677271314111e-07,1.0,0.28762859768486365,1.828004059234445e-08,4.5086774826049805,9.68951628778912e-07,1.1687795769391488e-15,0.0025466836523264647,0.9003016023763423,0.15440596640110016,1.0,0.9955855327116645,0.6136530041694641,1.000000238418579
120,wrong,17697,-0.2589120089688806,-12.801170349121094,0.0,0.8759428793596444,2.757543597908807e-06,1.0,0.26227084694276814,5.680119929962757e-09,3.586085796356201,3.0584779864176715e-06,1.806432491197968e-16,0.0027892107609659433,0.9094801336512557,0.1199837177991867,1.0,0.9962054334057585,0.5585750341415405,1.000000238418579
180,correct,6219,-0.20603680696655868,-8.504132270812988,0.0,0.8981077591991633,0.00020262932230252773,1.0,0.20200532443877933,1.8069357121675012e-09,3.3782572746276855,1.4595429650079126e-06,8.788016061553425e-16,0.005208894144743681,0.9269578698234824,0.16612710058689117,1.0,0.9978950638866133,0.6215834617614746,1.000000238418579
180,wrong,17192,-0.3223970350074245,-14.4381103515625,0.0,0.8523770543755482,5.365477022678533e-07,1.0,0.31865787963984965,1.656072612377102e-09,4.662531852722168,3.6565351346742194e-06,5.509349450509e-17,0.024047991260886192,0.8917451359781451,0.09914623200893402,1.0,0.993288445723728,0.4449666142463684,1.000000238418579
