step,uid,case_uid,sample_index,rollout_index,data_source,score,reward,response_length,token_logprob_mean,token_logprob_std,token_logprob_min,token_logprob_max,token_prob_mean,token_prob_min,token_entropy_mean,token_entropy_std,low_confidence_token_ratio,answer_tail_confidence,logprob_slope,entropy_slope,eos_prob_mean,eos_prob_max,eos_prob_final,eos_prob_slope,eos_high_prob_ratio,eos_top1_ratio,top1_prob_mean,top1_prob_final,topk_mass_mean,topk_mass_final
0,val::math500::52::c4a59c042fb03f9e::sample0,val::math500::52::c4a59c042fb03f9e,0,0,math500,0.0,0.0,349,-0.13153525266033825,0.5080497478676089,-6.162346839904785,0.0,0.9314587689825417,0.0021073019597679377,0.1362333973011897,0.36224767009285674,0.017191977077363897,0.9902504496276379,0.0004998929538035559,-0.00043703248104173435,5.135246573018233e-07,2.0353056243038736e-05,2.0353056243038736e-05,6.81753446480236e-10,0.0,0.0,0.9503587465146209,0.8915625810623169,0.9981471296709383,0.9999094009399414
0,val::math500::52::c4a59c042fb03f9e::sample1,val::math500::52::c4a59c042fb03f9e,1,1,math500,0.0,0.0,295,-0.19447312027383695,0.6527208702082223,-5.900798797607422,0.0,0.9082598778000891,0.002737257396802306,0.1726813582649414,0.402600088593713,0.04067796610169491,0.9875837042927742,0.0002594705214603595,-0.0006128074100053565,8.612748851414872e-07,3.572852801880799e-05,3.572852801880799e-05,9.092891867044998e-10,0.0,0.0,0.9380145348734775,0.8917574882507324,0.9977726964627283,0.9999163746833801
0,val::math500::52::c4a59c042fb03f9e::sample2,val::math500::52::c4a59c042fb03f9e,2,2,math500,1.0,1.0,2048,-0.2561565927768657,0.7077954312041409,-7.804329872131348,0.0,0.8747912217043421,0.00040796471876092255,0.2601380881240849,0.48994769700052065,0.05126953125,0.9804622642695904,0.00020504308542662665,-0.00017870060153038738,1.1793641497160507e-06,0.0007781062158755958,4.495146185945487e-06,-3.6354178567559553e-10,0.0,0.0,0.9080475069240492,0.9999874830245972,0.996501874178648,0.9999977946281433
0,val::math500::52::c4a59c042fb03f9e::sample3,val::math500::52::c4a59c042fb03f9e,3,3,math500,0.0,0.0,426,-0.27177972338852996,0.7053699507746918,-7.6481523513793945,0.0,0.8626870495730278,0.00047692449879832566,0.27096976335252415,0.5091167868840778,0.056338028169014086,0.8058406864874996,0.00038029499278519855,-0.00010374129361408909,4.253443142152071e-06,0.0005745888338424265,8.916624210542068e-06,-2.8785433041764827e-08,0.0,0.0,0.9024860761325124,0.8802118301391602,0.9957330947470777,0.9998421669006348
0,val::math500::76::63d40f3702faa438::sample0,val::math500::76::63d40f3702faa438,4,0,math500,1.0,1.0,385,-1.0077627043676742,1.8215282116173555,-15.909318923950195,-3.576278118089249e-07,0.6418146411614138,1.2321699216499837e-07,0.8775897600407786,0.9717883892829653,0.2077922077922078,0.4311115758609958,-0.003817454045120858,0.0031396558087782994,3.6558540301272005e-06,0.0010422866325825453,9.500020496489014e-06,3.4315379844725026e-08,0.0,0.0,0.7420097400228699,0.9982846975326538,0.9590121253744348,0.999885618686676
0,val::math500::76::63d40f3702faa438::sample1,val::math500::76::63d40f3702faa438,5,1,math500,1.0,1.0,482,-0.35651379057051646,0.8886036595167679,-10.386543273925781,0.0,0.8347973683816597,3.084477430093102e-05,0.36485313729750996,0.595592884616478,0.07676348547717843,0.9046738637844101,0.0006393617670458865,-0.0004464550891265003,1.0759322395206672e-06,4.7226378228515387e-05,2.541624598961789e-05,6.414049513085576e-09,0.0,0.0,0.879225994170454,0.9230039715766907,0.9922388097062645,0.9992825984954834
0,val::math500::76::63d40f3702faa438::sample2,val::math500::76::63d40f3702faa438,6,2,math500,0.0,0.0,1217,-0.3477042477128659,1.0006071442628155,-11.597557067871094,0.0,0.8580768789941284,9.188507647195365e-06,0.3500513578492559,0.6964640850761556,0.07313064913722268,0.9744286173954606,0.0008239235793931476,-0.0008694809718710929,5.836131978255778e-07,0.0003085449570789933,6.386341055986122e-07,-1.4501719369970855e-09,0.0,0.0,0.8885486108436874,0.8175573348999023,0.98704564639948,0.9999886751174927
0,val::math500::76::63d40f3702faa438::sample3,val::math500::76::63d40f3702faa438,7,3,math500,1.0,1.0,315,-0.33799871486594646,0.8513748595559676,-8.168524742126465,-1.1920928244535389e-07,0.8387302979352027,0.00028343586018308997,0.37680758360982125,0.5964185045535427,0.06349206349206349,0.9298695935867727,0.0020596612066608143,-0.0017744854141994333,0.0003845361457437182,0.11807463318109512,5.45474222235498e-06,-5.721126303601872e-06,0.0031746031746031746,0.0,0.8764280436057893,0.8339974284172058,0.9929304921437824,0.9998701214790344
0,val::math500::165::b907a1ae74a7d44b::sample0,val::math500::165::b907a1ae74a7d44b,8,0,math500,1.0,1.0,445,-0.1629427135847107,0.4619523150084087,-3.2382664680480957,0.0,0.9066299793509285,0.03923184797167778,0.20241074213108132,0.40846033660487446,0.03146067415730337,0.9861273039132357,0.00064647281235501,-0.0008209419141572295,3.385065071362739e-07,2.7718353521777317e-05,2.152323531845468e-06,-1.6706235165220297e-11,0.0,0.0,0.9294008613302467,0.9522166848182678,0.9979761770602023,0.999984860420227
0,val::math500::165::b907a1ae74a7d44b::sample1,val::math500::165::b907a1ae74a7d44b,9,1,math500,1.0,1.0,799,-0.22606570524269745,0.6497374016541909,-7.250950336456299,0.0,0.8854341448311787,0.0007094998145475984,0.25144224130304765,0.4510669761197616,0.04380475594493116,0.829352640081197,0.00012676169053611394,-0.0001299710231366862,3.3827593991124523e-06,0.00029378291219472885,0.00018579811148811132,1.3268517231083705e-08,0.0,0.0,0.9152802803153837,0.9131552577018738,0.997070824473313,0.9997577667236328
0,val::math500::165::b907a1ae74a7d44b::sample2,val::math500::165::b907a1ae74a7d44b,10,2,math500,0.0,0.0,543,-0.6271677099321391,2.0582100180101213,-14.775038719177246,-1.0728830375228426e-06,0.8533584775184463,3.83073597731709e-07,0.5767153835694918,1.5809220982567036,0.09208103130755065,0.9088538391515613,0.004854526266439217,-0.004224977081040933,0.00242334105724965,0.7293762564659119,1.3800872977753897e-07,-1.8193275918413145e-05,0.003683241252302026,0.001841620626151013,0.88863997900958,0.8169324398040771,0.9594498835298237,0.9996716976165771
0,val::math500::165::b907a1ae74a7d44b::sample3,val::math500::165::b907a1ae74a7d44b,11,3,math500,1.0,1.0,600,-0.12377047965956701,0.4594580985670301,-5.245757579803467,0.0,0.9318896374773855,0.005269828252494335,0.15037791406061515,0.34823249040984794,0.021666666666666667,0.9771252330392599,0.00027694913856938055,-0.00034085713970513236,2.812342277206348e-07,6.766460137441754e-05,9.587596650817432e-06,4.092872569444646e-12,0.0,0.0,0.9485274553547303,0.9464470148086548,0.9985950277249018,0.9999703764915466
0,val::math500::174::f537d36330f3b0f0::sample0,val::math500::174::f537d36330f3b0f0,12,0,math500,1.0,1.0,478,-0.1444378974723021,0.5168058183136186,-5.919723033905029,0.0,0.9248163881429148,0.0026859440840780735,0.17237633969470528,0.4084317602183356,0.029288702928870293,0.895014421781525,0.00014414637716102807,-0.00024227466043656427,7.834322988368449e-07,3.157611354254186e-05,2.1688229026040062e-05,2.0840081723912175e-09,0.0,0.0,0.9406585999799573,0.8924890756607056,0.9973046439212735,0.999308705329895
0,val::math500::174::f537d36330f3b0f0::sample1,val::math500::174::f537d36330f3b0f0,13,1,math500,1.0,1.0,317,-0.23010312210095224,0.5914720046483618,-4.105284690856934,-1.1920928244535389e-07,0.8774303236171274,0.01648532599210739,0.24779986791564948,0.4451602815291007,0.04100946372239748,0.9215475032106042,0.001163314595194979,-0.0010109337223855842,5.667553370446864e-07,4.2230145481880754e-05,1.541329220344778e-05,1.6357989471782782e-09,0.0,0.0,0.9125714460005896,0.6966097354888916,0.9976445863299566,0.9987848401069641
0,val::math500::174::f537d36330f3b0f0::sample2,val::math500::174::f537d36330f3b0f0,14,2,math500,0.0,0.0,1303,-0.16521079768953104,0.565486096034829,-8.827649116516113,0.0,0.9132662515009625,0.0001466225367039442,0.19338324328032425,0.4379403855504526,0.02762854950115119,0.948971729259938,7.967006296820823e-05,-5.6536835960955294e-05,5.7498351336125605e-06,0.005183164030313492,9.200669410347473e-06,-7.708771947930193e-09,0.0,0.0,0.9331874394487712,0.7529664635658264,0.9972210954631738,0.9999423027038574
0,val::math500::174::f537d36330f3b0f0::sample3,val::math500::174::f537d36330f3b0f0,15,3,math500,1.0,1.0,715,-0.3530700113510548,1.075457477344904,-14.718416213989258,0.0,0.8581452222658039,4.053900113376585e-07,0.3494921258622705,0.6416615924204533,0.06293706293706294,0.9052080039400607,0.0007339310795536178,-0.0005483776985778665,4.799328833870022e-06,0.00040371911018155515,9.400124690728262e-05,3.23267267658505e-09,0.0,0.0,0.8964512621397739,0.9187856912612915,0.9889458083606266,0.9995278120040894
0,val::math500::274::20410f435f0b3dd2::sample0,val::math500::274::20410f435f0b3dd2,16,0,math500,0.0,0.0,2048,-0.20810366731841806,0.8109605900953616,-10.890241622924805,0.0,0.9148042633111109,1.8639238987816498e-05,0.19765474987263093,0.49804500160515536,0.03955078125,0.9999642819166183,0.0003261291405473679,-0.00030983383717163776,9.918343805196898e-06,0.0001867828832473606,2.4300159566337243e-05,1.6517928571517246e-08,0.0,0.0,0.9383180811419152,0.999971866607666,0.9945476247230545,0.9999992847442627
0,val::math500::274::20410f435f0b3dd2::sample1,val::math500::274::20410f435f0b3dd2,17,1,math500,0.0,0.0,773,-2.4735711327479817,3.064026177637225,-16.43549346923828,-3.576272320060525e-06,0.448051251744299,7.28041129605117e-08,2.5278680991742815,2.3881712233963244,0.4540750323415265,0.6850273413656396,0.0014452940962988384,-0.0010462532512571707,0.0007721008759422638,0.21948465704917908,0.015884345397353172,1.4715368515889149e-06,0.00129366106080207,0.0,0.5491410582525147,0.5260173082351685,0.7564056723982211,0.9609826803207397
0,val::math500::274::20410f435f0b3dd2::sample2,val::math500::274::20410f435f0b3dd2,18,2,math500,0.0,0.0,574,-0.47367260334791605,0.9684803658376386,-8.80102825164795,-1.1920928244535389e-07,0.7782657946980827,0.00015057816926855594,0.5006164455007234,0.652066624654068,0.10104529616724739,0.8414191640913486,0.00029350804658971906,-0.0004408970899794157,5.975638816226082e-07,8.775352034717798e-05,3.715589684816223e-07,2.204126662756814e-09,0.0,0.0,0.8352510366290289,0.8348037600517273,0.9895847544645183,0.9993298053741455
0,val::math500::274::20410f435f0b3dd2::sample3,val::math500::274::20410f435f0b3dd2,19,3,math500,0.0,0.0,792,-0.5727830173097171,1.1110629507057221,-9.71574592590332,-1.6689286894688848e-06,0.7434353196312846,6.0326088714646176e-05,0.6291419585443075,0.7531836822049014,0.12626262626262627,0.8712059068493545,0.0006006189951016956,-0.000626898510870624,4.899999751063655e-06,0.0008083285065367818,7.306742190849036e-05,1.8332909155927146e-08,0.0,0.0,0.8016116230776815,0.5920712351799011,0.9809591850698597,0.9997184872627258
0,val::math500::355::c4aaca40d829b95f::sample0,val::math500::355::c4aaca40d829b95f,20,0,math500,0.0,0.0,584,-0.4578684656229823,1.0150519966996296,-8.258395195007324,0.0,0.8033733364308854,0.0002590744406916201,0.4168551654907228,0.6506152606316662,0.1095890410958904,0.9495517173781991,0.00022537593834227553,-0.0001356698360097173,4.387000438321838e-07,2.1556790670729242e-05,2.1556790670729242e-05,7.475648559164752e-10,0.0,0.0,0.8616040112986548,0.6908590197563171,0.9898293569479903,0.9998740553855896
