step,n_samples,n_cases,score,reward,response_length,token_logprob_mean,token_prob_mean,token_entropy_mean,low_confidence_token_ratio,answer_tail_confidence,eos_prob_mean,eos_prob_final,eos_high_prob_ratio,eos_top1_ratio,top1_prob_mean,top1_prob_final,topk_mass_mean,topk_mass_final
0,32,8,0.34375,0.34375,777.4375,-0.5544594790275696,0.8184665906710942,0.5527984334041537,0.10111170428621966,0.8229872182250441,0.00013922893540040538,0.0005406958195963707,0.0002547345464908522,0.0001569147145195244,0.8616735040257144,0.7908035584259778,0.9677892827478307,0.9709968701936305
60,32,8,0.34375,0.34375,663.3125,-0.2901564641698258,0.8640880598074245,0.2924935288803728,0.055490807020963755,0.9009983553541705,1.742148725017448e-05,7.4425442501413475e-06,4.476775978960104e-05,1.52587890625e-05,0.9009982982243715,0.8864597287029028,0.9947089343211061,0.9995743576437235
120,32,8,0.4375,0.4375,753.375,-0.2849855236532308,0.8652976628053763,0.2885459860710132,0.05379862194354905,0.9173419558799196,1.3004507091086962e-06,1.0792588073710307e-05,0.0,0.0,0.9009564890421693,0.9144365806132555,0.9953551777926665,0.9998407699167728
180,32,8,0.4375,0.4375,731.59375,-0.2839485211942594,0.8676145438366576,0.2791699034914936,0.05767244227137314,0.9142226656101684,1.8965943169475697e-06,0.00020379128660308332,0.0,0.0,0.9040246999898703,0.9122049538418651,0.9950304296764575,0.9997061435133219
