formal_label,run_name,run_id,step,training_global_step,actor_entropy,actor_kl_loss,actor_ppo_kl,actor_pg_loss,train_response_length_mean,val_reward_mean,val_reward_pass1,val_reward_pass8,val_reward_best8_mean,val_aux_response_length_mean,val_token_entropy_mean,val_low_confidence_ratio,val_token_response_length_mean,val_top1_prob_mean,val_eos_prob_mean,val_topk_mass_mean,val_analyzed_samples,val_analyzed_sample_fraction
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,23,23.0,0.0609052069485187,2.215078121992065e-05,-9.936357686979314e-06,1.0003901479649356e-05,521.81640625,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,24,24.0,0.0624712444841861,2.116557173792444e-05,-4.531337486501919e-05,7.248406291182619e-06,521.634765625,0.68225,0.68225,0.842,0.819028,487.578125,0.3974890370453766,0.0487421887518026,487.578125,0.9339444473870498,0.002051463182147,0.9691833227151786,64.0,0.016
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,25,25.0,0.0611244738101959,2.0351593409628776e-05,-2.0753675186613307e-05,1.831817826314364e-06,521.3125,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,26,26.0,0.05906792730093,2.1603068674380665e-05,3.1316993500674077e-06,1.3663767276739236e-05,524.060546875,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,27,27.0,0.0644896104931831,2.165480501759021e-05,5.659232466542763e-05,1.521073227195302e-05,520.8359375,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,28,28.0,0.0596983395516872,2.1593557981702816e-05,-1.2098010373051691e-05,1.807376065698918e-06,521.994140625,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,29,29.0,0.0598139539361,2.0728562031280265e-05,1.2773583836001023e-05,1.1943948265979998e-05,523.697265625,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,30,30.0,0.0656980946660041,2.0402413614561965e-05,1.2780052453198463e-05,1.3747177945333531e-05,521.015625,0.6875,0.6875,0.854,0.833434,469.078125,0.154330693477436,0.0215182705439525,469.078125,0.9616516256613534,0.0021383399998481,0.992697390879119,64.0,0.016
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,31,31.0,0.0575064979493618,2.138795852957287e-05,-1.8672972254663023e-05,5.93469576415373e-06,520.6328125,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,32,32.0,0.0580066815018653,2.1408592129290582e-05,-6.336253066674402e-06,5.6504322856199e-06,523.01953125,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,33,33.0,0.0615371949970722,2.0938870870068627e-05,-7.060192786401132e-06,1.9856342078128364e-05,520.630859375,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,34,34.0,0.0598139055073261,2.2173254315305257e-05,-3.677694707893142e-05,2.916187440860085e-06,520.830078125,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,35,35.0,0.0598345100879669,2.2668313063078926e-05,-3.0002784175753305e-05,6.9331999839050695e-06,520.283203125,,,,,,,,,,,,,
