step,BaseCN8,BaseCN1,BaseWeak,BaseShuffle
0,0.7339566613322962,0.7781918246637679,0.7339566613322962,0.7339566613322962
6,0.739394992741186,0.7684179862506343,0.6887766223364681,0.7124251400306904
12,0.7481836999542286,0.747616854536395,0.7692175691248576,0.6975440970983896
18,0.8957414054737266,0.712551812852253,0.8222178559516536,0.8123479854981175
24,0.8722198426553994,0.7957128688158288,0.7899646161262341,0.8416783020326586
30,0.9371344637752536,0.8406027565861302,0.8212051917792976,0.8675697033263607
36,0.8912587641495547,0.816944321499082,0.8888701067523642,0.927964254324525
42,0.9327224666854994,0.8426997463526407,0.8931836797627581,0.9397865922717331
48,0.9129521880671254,0.9051538617095776,0.9399005445917165,0.9045898260359885
54,0.9335726830807504,0.859916593714569,0.9579756070850268,0.9781184944381494
60,0.9015409720891815,0.8815648649247405,0.9505476374769213,0.9399406304152295
66,0.9170840631255058,0.9158658654141536,0.9320137408258595,0.941686672383562
72,0.9490040593055546,0.9395640910541913,0.945183352046209,0.9314528122993289
78,0.9163794664873485,0.9062804503839184,0.9041390300419282,0.9037693958693674
84,0.9511014723183255,0.9115081096216596,0.9491117627016644,0.9220133930772081
90,0.9150621950843607,0.9453615419103796,0.9331865073509676,0.9147153621278916
96,0.9927485687658191,0.9333783729168991,0.868475359552136,0.8702541491416844
102,0.9148394040888944,0.9235456811558275,0.915758461656701,0.9140901772003431
108,0.926795135589651,0.9258547345077643,0.9366208950777183,0.9070931530380089
114,0.9396318198022262,0.9674033913765829,0.9234110395639046,0.9068210513240172
120,0.909518913273481,0.943249869871674,0.9822257878258824,0.9381725680671836
126,0.9794417827169362,0.9532018523326354,0.9486015722751524,0.9390066899056857
132,0.8983816960168635,0.9298049788428897,0.9858319275081158,0.9570691987715819
138,0.9792639754365005,0.9777625966915346,0.9061413656883865,0.9637101111407254
144,0.965826200210513,0.928262957189062,0.9951009703800082,0.9555265128147072
150,0.9665612820535898,0.9458724597957493,0.9548841831181902,0.8921164669330962
156,0.961227006471755,0.9801814473178232,0.9795686844736442,0.9605347417188032
162,0.9623467060940467,0.942621335929619,0.9421151009969377,0.9612098188553381
168,0.943575949879627,0.9494296724394858,0.9631230961531869,0.9513235506616696
174,0.9738147202946188,0.9751690254967159,0.9777990495786071,0.9458106374445294
180,0.9880379629321396,0.9214564015991032,0.9737787619248194,0.968836368064595
