step,BaseCN8,BaseCN1,BaseWeak,BaseShuffle
0,0.6752286916598678,0.6334195281378925,0.6752286916598678,0.6752286916598678
6,0.8066158210858703,0.46160808752756566,0.741515805828385,0.6306437025777996
12,0.47673674626275897,0.5749311627587304,0.585975700058043,0.5490291436435655
18,0.2944646544056013,0.5200417393352836,0.30139163229614496,0.30483859858941287
24,0.22201628529001027,0.4901419439120218,0.26945498504210263,0.315995657001622
30,0.242325208382681,0.423619921784848,0.3461928030010313,0.2152732473332435
36,0.2025389806367457,0.4211266349302605,0.1902036095270887,0.2340835474897176
42,0.18497027596458793,0.3975371507694945,0.32332402013707906,0.20617967878933996
48,0.18893298192415386,0.31937286583706737,0.20368399878498167,0.20463259960524738
54,0.20229043427389115,0.3426463216310367,0.18824331660289317,0.21779846370918676
60,0.20124031440354884,0.33028936805203557,0.18544255482265726,0.20135263312840834
66,0.200541608966887,0.2708263212116435,0.1903079254552722,0.17026841774350032
72,0.21517037181183696,0.26987610768992454,0.19308451900724322,0.25781003665179014
78,0.22720067913178355,0.23671148449648172,0.19679021765477955,0.22186191973742098
84,0.19369652785826474,0.21211529371794313,0.170478229643777,0.20755945215933025
90,0.18705164000857621,0.20602494024205953,0.17841409984976053,0.20304570777807385
96,0.17999723728280514,0.22893651318736374,0.2138678570627235,0.2133372687967494
102,0.18202700780238956,0.2612865592818707,0.1725368705810979,0.17804742208682
108,0.19290429120883346,0.2320120830554515,0.17646023054840043,0.19293512927833945
114,0.20996573357842863,0.21156911086291075,0.18463621544651687,0.2193180602043867
120,0.1866695397766307,0.17479986092075706,0.17431667301570997,0.19914900127332658
126,0.1697519402951002,0.1864037028281018,0.1722880435991101,0.2045740375178866
132,0.18935467902338132,0.18512395955622196,0.1663772176252678,0.17580991587601602
138,0.19956349255517125,0.18370853154920042,0.18002221448114142,0.17350224300753325
144,0.19197559193708003,0.1980373333208263,0.16919022001093253,0.23510990769136697
150,0.17058470577467233,0.18554682383546606,0.1557654447387904,0.19299284822773188
156,0.23028212133795023,0.17535543907433748,0.16316492180339992,0.185022798134014
162,0.18457860965281725,0.18266947113443166,0.15773652552161366,0.18179330800194293
168,0.1835075446870178,0.20977241592481732,0.15448558947537094,0.18211233732290566
174,0.17613123124465346,0.1873276053229347,0.1583746465621516,0.24797751323785633
180,0.1838827544124797,0.2811008564895019,0.15632654924411327,0.18667401518905535
