formal_label,run_name,run_id,step,training_global_step,actor_entropy
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,54,54.0,0.1287775337696075
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,55,55.0,0.1293215602636337
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,56,56.0,0.1250806599855423
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,57,57.0,0.1338633596897125
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,58,58.0,0.1223786696791648
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,59,59.0,0.1243346109986305
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,60,60.0,0.1211538612842559
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,61,61.0,0.1239823624491691
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,62,62.0,0.1181300356984138
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,63,63.0,0.1141141280531883
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,64,64.0,0.1162914112210273
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,65,65.0,0.1156683638691902
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,66,66.0,0.1242588236927986
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,67,67.0,0.1128577664494514
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,68,68.0,0.1177046597003936
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,69,69.0,0.1221786141395568
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,70,70.0,0.1186784952878952
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,71,71.0,0.1157891452312469
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,72,72.0,0.1157024875283241
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,73,73.0,0.1243664845824241
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,74,74.0,0.1175143122673034
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,75,75.0,0.1108773425221443
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,76,76.0,0.1111143678426742
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,77,77.0,0.1093501299619674
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,78,78.0,0.1134970411658287
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,79,79.0,0.1235610246658325
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,80,80.0,0.1135201603174209
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,81,81.0,0.1126443147659301
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,82,82.0,0.112692728638649
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,83,83.0,0.1119965836405754
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,84,84.0,0.1148592978715896
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,85,85.0,0.1159394681453704
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,86,86.0,0.1123106330633163
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,87,87.0,0.1167494505643844
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,88,88.0,0.1084497198462486
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,89,89.0,0.1168176159262657
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,90,90.0,0.1135720461606979
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,91,91.0,0.114736370742321
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,92,92.0,0.1125576794147491
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,93,93.0,0.1169365793466568
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,94,94.0,0.1115790978074073
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,95,95.0,0.11154305934906
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,96,96.0,0.1104427203536033
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,97,97.0,0.1129715889692306
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,98,98.0,0.1138880103826522
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,99,99.0,0.1114373505115509
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,100,100.0,0.1103826910257339
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,101,101.0,0.1126465424895286
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,102,102.0,0.1097824573516845
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,103,103.0,0.113049991428852
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,104,104.0,0.1087869927287101
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,105,105.0,0.1103767678141594
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,106,106.0,0.1139187663793563
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,107,107.0,0.1144506484270095
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,108,108.0,0.1107422783970832
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,109,109.0,0.1077946946024894
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,110,110.0,0.1054065749049186
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,111,111.0,0.115112081170082
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,112,112.0,0.1129461824893951
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,113,113.0,0.1059875339269638
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,114,114.0,0.1088889017701149
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,115,115.0,0.1531486809253692
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,116,116.0,0.1219576299190521
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,117,117.0,0.1100208312273025
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,118,118.0,0.1104665920138359
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,119,119.0,0.1079870983958244
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,120,120.0,0.1121464520692825
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,121,121.0,0.1101776883006096
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,122,122.0,0.1109492108225822
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,123,123.0,0.1316707134246826
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,124,124.0,0.1111515164375305
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,125,125.0,0.1097094416618347
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,126,126.0,0.1100986003875732
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,127,127.0,0.1107283905148506
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,128,128.0,0.1105219796299934
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,129,129.0,0.111468032002449
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,130,130.0,0.1098532527685165
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,131,131.0,0.108125127851963
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,132,132.0,0.115331582725048
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,133,133.0,0.1079815030097961
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,134,134.0,0.1102239340543747
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,135,135.0,0.1062133610248565
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,136,136.0,0.109169028699398
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,137,137.0,0.1154078245162964
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,138,138.0,0.1094063892960548
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,139,139.0,0.1077877506613731
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,140,140.0,0.11684250831604
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,141,141.0,0.1124154850840568
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,142,142.0,0.105414368212223
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,143,143.0,0.1072140038013458
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,144,144.0,0.1064458787441253
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,145,145.0,0.1083744466304779
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,146,146.0,0.1154200732707977
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,147,147.0,0.1094446554780006
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,148,148.0,0.1063786447048187
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,149,149.0,0.1140555739402771
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,150,150.0,0.1083591729402542
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,151,151.0,0.1099485382437706
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,152,152.0,0.1114038601517677
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,153,153.0,0.1114741489291191
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,154,154.0,0.1092646643519401
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,155,155.0,0.1091113835573196
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,156,156.0,0.1060921028256416
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,157,157.0,0.1099224686622619
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,158,158.0,0.1159116551280021
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,159,159.0,0.1085595712065696
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,160,160.0,0.1100329458713531
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,161,161.0,0.1085609719157219
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,162,162.0,0.1117981374263763
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,163,163.0,0.1070374995470047
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,164,164.0,0.1106224283576011
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,165,165.0,0.1084907278418541
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,166,166.0,0.1068784892559051
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,167,167.0,0.1077403649687767
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,168,168.0,0.113872542977333
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,169,169.0,0.110542893409729
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,170,170.0,0.1107256859540939
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,171,171.0,0.1089420691132545
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,172,172.0,0.1104970499873161
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,173,173.0,0.1091829538345336
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,174,174.0,0.1107713803648948
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,175,175.0,0.1102688312530517
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,176,176.0,0.1097207888960838
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,177,177.0,0.112354040145874
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,178,178.0,0.1153140738606453
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,179,179.0,0.1161022707819938
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,180,180.0,0.1162291392683982
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,0,,
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,1,1.0,0.6408476233482361
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,2,2.0,0.3603676557540893
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,3,3.0,0.2779013514518738
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,4,4.0,0.401196539402008
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,5,5.0,0.309986799955368
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,6,6.0,0.3282959759235382
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,8,8.0,0.3392560184001922
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,9,9.0,0.4682551920413971
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,10,10.0,0.291050910949707
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,11,11.0,0.3480955958366394
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,13,13.0,0.7613453269004822
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,14,14.0,0.4319715797901153
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,15,15.0,0.3026875853538513
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,17,17.0,0.2515631020069122
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,18,18.0,0.2497216463088989
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,19,19.0,0.3454320132732391
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,20,20.0,0.3179837763309479
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,21,21.0,0.3233791589736938
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,22,22.0,0.2756687104701996
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,23,23.0,0.4923546016216278
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,24,24.0,0.2684514820575714
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,25,25.0,0.2779945135116577
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,27,27.0,0.2480022609233856
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,28,28.0,0.1995377093553543
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,29,29.0,0.3221673667430877
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,31,31.0,0.1937109529972076
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,32,32.0,0.2668477892875671
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,33,33.0,0.2172037661075592
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,34,34.0,0.2341112792491912
