formal_label,run_name,run_id,step,training_global_step,actor_entropy
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,53,53.0,0.1411698460578918
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,55,55.0,0.1395556330680847
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,57,57.0,0.137084886431694
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,59,59.0,0.1277735233306884
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,60,60.0,0.1443925350904464
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,61,61.0,0.1241528987884521
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,62,62.0,0.1432938128709793
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,64,64.0,0.13230861723423
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,67,67.0,0.1436929851770401
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,68,68.0,0.1346254497766494
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,69,69.0,0.1551308184862136
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,71,71.0,0.1286489069461822
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,72,72.0,0.122198961675167
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,73,73.0,0.1610726863145828
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,74,74.0,0.1450008302927017
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,80,80.0,0.115180142223835
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,81,81.0,0.1146641373634338
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,82,82.0,0.1402247697114944
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,86,86.0,0.1151859611272812
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,87,87.0,0.1159303560853004
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,90,90.0,0.1239844560623169
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,91,91.0,0.1109945103526115
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,92,92.0,0.1277390569448471
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,94,94.0,0.1367809325456619
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,95,95.0,0.1326049715280532
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,96,96.0,0.1238865107297897
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,99,99.0,0.1184108406305313
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,100,100.0,0.1286446154117584
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,101,101.0,0.1176409274339676
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,102,102.0,0.1155166253447532
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,103,103.0,0.1169636771082878
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,105,105.0,0.1163809970021248
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,106,106.0,0.1257568448781967
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,107,107.0,0.1155376359820366
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,108,108.0,0.134440615773201
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,109,109.0,0.117524467408657
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,111,111.0,0.1238554716110229
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,112,112.0,0.1316230744123459
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,113,113.0,0.1245264336466789
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,114,114.0,0.1182997077703476
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,116,116.0,0.1107013002038002
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,117,117.0,0.1302651464939117
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,119,119.0,0.1108165830373764
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,120,120.0,0.1246965453028678
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,122,122.0,0.1092200055718422
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,123,123.0,0.1097393929958343
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,124,124.0,0.1086373925209045
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,125,125.0,0.1127051711082458
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,126,126.0,0.1087336242198944
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,129,129.0,0.11223766207695
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,130,130.0,0.1073540672659874
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,131,131.0,0.1064945384860038
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,132,132.0,0.1109355613589286
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,133,133.0,0.1147005930542946
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,135,135.0,0.1237351521849632
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,136,136.0,0.1010078489780426
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,137,137.0,0.1056954115629196
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,138,138.0,0.0987942889332771
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,139,139.0,0.0988583788275718
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,140,140.0,0.096670389175415
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,142,142.0,0.0972159579396248
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,143,143.0,0.0998904034495353
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,144,144.0,0.1006868407130241
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,146,146.0,0.0970617830753326
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,148,148.0,0.1225105971097946
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,149,149.0,0.0953984335064888
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,150,150.0,0.1035256534814834
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,151,151.0,0.0972532406449318
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,152,152.0,0.1012527793645858
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,153,153.0,0.0971668064594268
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,154,154.0,0.0934219360351562
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,155,155.0,0.0928291827440261
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,156,156.0,0.0898481532931327
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,157,157.0,0.0933328568935394
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,158,158.0,0.0930708721280098
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,159,159.0,0.0987188443541526
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,160,160.0,0.1059014126658439
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,161,161.0,0.1055570095777511
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,162,162.0,0.0921260267496109
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,163,163.0,0.1034129187464714
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,164,164.0,0.0861224010586738
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,167,167.0,0.0894131064414978
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,168,168.0,0.0964970514178276
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,171,171.0,0.1044362783432006
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,172,172.0,0.0910757258534431
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,173,173.0,0.0829688534140586
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,174,174.0,0.1186742112040519
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,175,175.0,0.0876375958323478
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,176,176.0,0.0815261080861091
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,177,177.0,0.0917206183075904
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,178,178.0,0.0849566906690597
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,179,179.0,0.0826132968068122
Base small-group ablation (n=1),base_c_n1_val8_align_exp1_2gpu_20260406_195153,04bw3n5xqk9h3gla7imi9,180,180.0,0.0845555886626243
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,0,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,1,1.0,0.3455305397510528
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,2,2.0,0.3553726077079773
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,3,3.0,0.3939868807792664
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,4,4.0,0.408247709274292
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,5,5.0,0.3499517738819122
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,6,6.0,0.3858982920646667
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,7,7.0,0.2954252958297729
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,8,8.0,0.3295895755290985
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,9,9.0,0.3460823893547058
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,10,10.0,0.3753516376018524
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,11,11.0,0.2837252020835876
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,12,12.0,0.2595750987529754
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,13,13.0,0.2726920247077942
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,14,14.0,0.2839458882808685
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,15,15.0,0.2627362012863159
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,16,16.0,0.2320944368839264
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,17,17.0,0.2220049798488617
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,18,18.0,0.2554158866405487
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,19,19.0,0.2169364988803863
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,20,20.0,0.2306690663099289
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,21,21.0,0.2341560870409012
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,22,22.0,0.1907547116279602
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,23,23.0,0.1772466301918029
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,24,24.0,0.171433538198471
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,25,25.0,0.170351356267929
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,26,26.0,0.1645254641771316
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,27,27.0,0.1726542711257934
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,28,28.0,0.1523488610982895
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,29,29.0,0.1566343605518341
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,30,30.0,0.153941810131073
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,31,31.0,0.1503962576389312
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,32,32.0,0.1379765570163726
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,33,33.0,0.1437024772167205
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,34,34.0,0.162282183766365
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,35,35.0,0.1427823007106781
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,36,36.0,0.1421889960765838
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,37,37.0,0.1399946957826614
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,38,38.0,0.136912852525711
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,39,39.0,0.1330229043960571
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,40,40.0,0.1305845379829406
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,41,41.0,0.1526668220758438
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,42,42.0,0.1335647851228714
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,43,43.0,0.1405235677957534
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,44,44.0,0.1310116052627563
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,45,45.0,0.1415674984455108
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,46,46.0,0.1289983689785003
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,47,47.0,0.1395985037088394
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,48,48.0,0.1299913376569748
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,49,49.0,0.1318661272525787
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,50,50.0,0.1281709372997284
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,51,51.0,0.1270177066326141
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,52,52.0,0.165772795677185
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,53,53.0,0.1396794021129608
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,54,54.0,0.1272510886192321
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,55,55.0,0.1235594823956489
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,56,56.0,0.1303942501544952
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,57,57.0,0.1332834959030151
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,58,58.0,0.1231805831193924
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,59,59.0,0.1549150645732879
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,60,60.0,0.1196914613246917
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,61,61.0,0.1200310066342353
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,62,62.0,0.1224038749933242
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,63,63.0,0.125003308057785
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,64,64.0,0.1185344755649566
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,65,65.0,0.122491106390953
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,66,66.0,0.1194924712181091
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,67,67.0,0.121549405157566
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,68,68.0,0.1141435280442238
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,69,69.0,0.1254516094923019
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,70,70.0,0.1175427809357643
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,71,71.0,0.1129697635769844
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,72,72.0,0.1152128800749778
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,73,73.0,0.1146643310785293
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,74,74.0,0.1125259324908256
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,75,75.0,0.1211324781179428
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,76,76.0,0.1208045482635498
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,77,77.0,0.1146662086248397
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,78,78.0,0.1139248758554458
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,79,79.0,0.1183323189616203
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,80,80.0,0.1211246699094772
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,81,81.0,0.1120528504252433
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,82,82.0,0.1144386827945709
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,83,83.0,0.1151701509952545
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,84,84.0,0.1123344376683235
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,85,85.0,0.1104659363627433
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,86,86.0,0.109015591442585
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,87,87.0,0.1145917251706123
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,88,88.0,0.1122639700770378
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,89,89.0,0.1103909164667129
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,90,90.0,0.1136214360594749
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,91,91.0,0.1107103675603866
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,92,92.0,0.1087188944220542
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,93,93.0,0.1119202226400375
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,94,94.0,0.1098785698413848
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,95,95.0,0.107337549328804
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,96,96.0,0.1085785254836082
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,97,97.0,0.1093707457184791
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,98,98.0,0.109768345952034
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,99,99.0,0.1122512072324752
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,100,100.0,0.1097558960318565
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,101,101.0,0.108680747449398
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,102,102.0,0.1093989983201026
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,103,103.0,0.1044280007481575
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,104,104.0,0.1148879155516624
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,105,105.0,0.1069637313485145
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,106,106.0,0.105677843093872
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,107,107.0,0.1072694733738899
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,108,108.0,0.1060054153203964
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,109,109.0,0.1072315350174904
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,110,110.0,0.1037291511893272
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,111,111.0,0.1049700379371643
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,112,112.0,0.1052219569683075
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,113,113.0,0.1045270413160324
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,114,114.0,0.1033991277217865
