step,BaseCN8,BaseCN1,BaseWeak,BaseShuffle
0,0.851113623008132,0.8562504909932613,0.851113623008132,0.851113623008132
6,0.8311329013668001,0.8759798342362046,0.8353429650887847,0.8549823667854071
12,0.8756108954548836,0.8634965452365577,0.865963771706447,0.8632547815795988
18,0.9078120840713382,0.8724743137136102,0.9068395551294088,0.9066591272130609
24,0.9238011660054326,0.8770191031508148,0.9144576005637646,0.9064472364261746
30,0.9203668916597962,0.8813417456112802,0.9112335338722914,0.9268188718706369
36,0.9314999431371689,0.8859962439164519,0.9345322456210852,0.9228991521522403
42,0.9351303735747933,0.8910078727640212,0.918395719723776,0.9284603400155902
48,0.9338262099772692,0.90282316878438,0.9310326473787427,0.9295680960640311
54,0.9288392327725887,0.9055383447557688,0.9335898365825415,0.9287205934524536
60,0.9317056275904179,0.9017514577135444,0.935501104220748,0.9312183549627662
66,0.9321201676502824,0.9142255904152989,0.9334083218127489,0.9395336238667369
72,0.9280230337753892,0.9143402008339763,0.9319398729130626,0.9244885738007724
78,0.9261658620089293,0.9204089641571045,0.9321514302864671,0.9254656173288822
84,0.9320613890886307,0.9278629375621676,0.938833293505013,0.9311736281961203
90,0.9339239513501525,0.9291525073349476,0.9371136324480176,0.9301193747669458
96,0.9367137467488647,0.9236473944038153,0.9324081586673856,0.9273749506101012
102,0.9353210087865591,0.9201012528501451,0.939339330419898,0.9359195102006197
108,0.9323307182639837,0.9218344837427139,0.93773955386132,0.9336322052404284
114,0.9292523255571723,0.9284554095938802,0.9358089035376906,0.9265522453933954
120,0.9339074762538075,0.9379538893699646,0.9383187154307961,0.9313936959952116
126,0.9393982877954841,0.9346094066277146,0.9385557556524873,0.931843183003366
132,0.9339913353323936,0.9349859328940511,0.9401870602741838,0.937284218147397
138,0.9306566771119833,0.9353498267009854,0.9356925459578633,0.937245930545032
144,0.9348732493817806,0.9318620152771473,0.9396773166954517,0.9236340122297406
150,0.938856752589345,0.9344893386587501,0.9433552138507366,0.93219402898103
156,0.9246428301557899,0.9376058019697666,0.9413725323975086,0.935993704944849
162,0.9348048437386751,0.935616728849709,0.9431458478793502,0.9357658931985497
168,0.9357871850952506,0.9283307464793324,0.9442088166251779,0.9351514214649796
174,0.9370295982807875,0.9343425808474422,0.9423373751342297,0.9277600641362369
180,0.9354296224191785,0.9226808473467827,0.9436556342989206,0.9342738194391131
