formal_label,actor_entropy_start_step,actor_entropy_start,actor_entropy_final_step,actor_entropy_final,actor_entropy_delta,train_resp_len_start,train_resp_len_final,val_start_step,val_final_step,val_reward_mean_start,val_reward_mean_final,val_reward_mean_delta,val_reward_pass1_start,val_reward_pass1_final,val_reward_pass1_delta,val_reward_pass8_start,val_reward_pass8_final,val_reward_pass8_delta,val_reward_best8_start,val_reward_best8_final,val_reward_best8_delta,val_aux_response_length_mean_start,val_aux_response_length_mean_final,val_aux_response_length_mean_delta,val_token_entropy_mean_start,val_token_entropy_mean_final,val_token_entropy_mean_delta,val_low_confidence_ratio_start,val_low_confidence_ratio_final,val_low_confidence_ratio_delta,val_token_response_length_mean_start,val_token_response_length_mean_final,val_token_response_length_mean_delta,val_top1_prob_mean_start,val_top1_prob_mean_final,val_top1_prob_mean_delta,val_eos_prob_mean_start,val_eos_prob_mean_final,val_eos_prob_mean_delta,val_topk_mass_mean_start,val_topk_mass_mean_final,val_topk_mass_mean_delta,val_analyzed_samples_start,val_analyzed_samples_final,val_analyzed_samples_delta,val_analyzed_sample_fraction_start,val_analyzed_sample_fraction_final,val_analyzed_sample_fraction_delta,val_reward_best_step,val_reward_best
Base baseline (n=8),1,0.3455305397510528,180,0.1162291392683982,-0.2293014004826546,681.46875,509.685546875,0,180,0.3745,0.57325,0.19875000000000004,0.3745,0.57325,0.19875000000000004,0.762,0.824,0.061999999999999944,0.7084539999999999,0.7876099999999999,0.079156,812.46875,603.078125,-209.390625,0.6603227107908832,0.2021244004201613,-0.4581983103707219,0.1153890534251317,0.0371272378682281,-0.07826181555690359,812.46875,603.078125,-209.390625,0.8542631885776969,0.931921149200796,0.07765796062309915,0.0011881919188604,0.0016828558990231,0.0004946639801626999,0.9445495413259304,0.9932185271695744,0.048668985843643986,64.0,64.0,0.0,0.016,0.016,0.0,156,0.57525
Base small-group ablation (n=1),1,0.6408476233482361,180,0.0845555886626243,-0.5562920346856117,797.125,502.0625,0,180,0.363,0.547,0.18400000000000005,0.363,0.547,0.18400000000000005,0.762,0.798,0.03600000000000003,0.7034259999999999,0.7628720000000001,0.05944600000000022,762.75,580.4375,-182.3125,0.5317089220063876,0.3170317366881302,-0.21467718531825747,0.0947230416256964,0.0507968127490039,-0.04392622887669251,762.75,580.4375,-182.3125,0.8734852927741517,0.9211870223120108,0.04770172953785912,0.0012476668558604,0.0016908295160503,0.0004431626601898999,0.9591712807874452,0.9802576840161328,0.0210864032286876,64.0,64.0,0.0,0.016,0.016,0.0,174,0.559
Base weak-regularization variant,1,0.3455305397510528,180,0.0907386690378189,-0.2547918707132339,681.46875,564.89453125,0,180,0.3745,0.57475,0.20024999999999998,0.3745,0.57475,0.20024999999999998,0.762,0.814,0.051999999999999935,0.7084539999999999,0.7805019999999999,0.072048,812.46875,578.609375,-233.859375,0.6603227107908832,0.1557419273617722,-0.5045807834291111,0.1153890534251317,0.0300829035132726,-0.0853061499118591,812.46875,578.609375,-233.859375,0.8542631885776969,0.9442185901558302,0.08995540157813331,0.0011881919188604,0.0016863610965585,0.0004981691776981001,0.9445495413259304,0.9963314753489634,0.051781934023032994,64.0,64.0,0.0,0.016,0.016,0.0,174,0.5765
Base nominal control condition,1,0.3455305397510528,180,0.110905535519123,-0.2346250042319298,681.46875,498.41015625,0,180,0.3745,0.5745,0.2,0.3745,0.5745,0.2,0.762,0.832,0.06999999999999995,0.7084539999999999,0.79291,0.08445600000000009,812.46875,531.34375,-281.125,0.6603227107908832,0.1805610223734357,-0.47976168841744754,0.1153890534251317,0.0344939128389107,-0.08089514058622099,812.46875,531.34375,-281.125,0.8542631885776969,0.9365842640066908,0.08232107542899392,0.0011881919188604,0.001825956091708,0.0006377641728476,0.9445495413259304,0.9952685858637824,0.05071904453785203,64.0,64.0,0.0,0.016,0.016,0.0,162,0.5755
Instruct nominal control condition,1,0.1181448027491569,180,0.062130756676197,-0.05601404607295989,580.923828125,514.76171875,0,180,0.68375,0.69325,0.009500000000000064,0.68375,0.69325,0.009500000000000064,0.834,0.854,0.020000000000000018,0.807192,0.829632,0.022440000000000015,473.25,486.09375,12.84375,0.1106249272225083,0.4344401286292865,0.3238152014067782,0.0169374009508716,0.0503375120540019,0.033400111103130306,473.25,486.09375,12.84375,0.963924547005002,0.9331795236605304,-0.0307450233444716,0.0021022310017028,0.0021287147253895,2.6483723686699864e-05,0.997427968077098,0.9663240374494924,-0.031103930627605636,64.0,64.0,0.0,0.016,0.016,0.0,174,0.69625
Instruct baseline (n=8),1,0.1181448027491569,180,0.0624950379133224,-0.055649764835834496,580.923828125,515.9921875,0,180,0.68375,0.68725,0.0035000000000000586,0.68375,0.68725,0.0035000000000000586,0.834,0.858,0.02400000000000002,0.807192,0.829674,0.022482000000000002,473.25,470.34375,-2.90625,0.1106249272225083,0.1564239397784592,0.045799012555950896,0.0169374009508716,0.0217593515381037,0.004821950587232102,473.25,470.34375,-2.90625,0.963924547005002,0.9613121001793772,-0.0026124468256247813,0.0021022310017028,0.0021119721525412,9.741150838399673e-06,0.997427968077098,0.9925237808597578,-0.004904187217340206,64.0,64.0,0.0,0.016,0.016,0.0,162,0.6995
