step,BaseCN8,BaseCN1,BaseWeak,BaseShuffle
0,0.11598829957074486,0.11023128501255997,0.11598829957074486,0.11598829957074486
6,0.14109647474833764,0.09121198565117083,0.13213225893559866,0.1107986438437365
12,0.08824557658226695,0.10015060527075548,0.10394651946262456,0.10299704386852682
18,0.05495313946448732,0.09552389760210644,0.056677704938920215,0.056922699048300274
24,0.03978084806294646,0.08845873715472408,0.05134235160949174,0.060074620632804
30,0.04640979180112481,0.08750213903840631,0.05572983699676115,0.0401946569327265
36,0.03663162210432347,0.07611505921522621,0.03145265015336918,0.043059023868408985
42,0.03459399600978941,0.07574273033242207,0.05268184250599006,0.03802744076529052
48,0.035285582300275564,0.06253940836177208,0.03707528164522955,0.036996136434026994
54,0.03713964567577932,0.059134134789928794,0.034251781151397154,0.040119362267432734
60,0.037801241502165794,0.06568674472509883,0.03380761057633208,0.036497627952485345
66,0.03767411582521163,0.0526303256774554,0.035584934914368205,0.028903069302032236
72,0.04006681551982183,0.051316910481546074,0.03596878301323159,0.046301937007228844
78,0.043253854011709336,0.04397708358010277,0.038009079777111765,0.04064199201820884
84,0.03472364576009568,0.03900371730924235,0.02961790581321111,0.037935806962195784
90,0.03430329651746433,0.038706618404830806,0.03259217878803611,0.037291500229912344
96,0.03379355293145636,0.04354880571918329,0.037447338763740845,0.04027593297359999
102,0.03129536276537692,0.04908645428076852,0.03131268038850976,0.0313072358694626
108,0.03585620228841435,0.044757526004104875,0.03280347895633895,0.03452456504601287
114,0.04099388972099405,0.03916379158181371,0.0340123281293927,0.042548099809209816
120,0.03463671317513217,0.03156058402964845,0.03194440477818716,0.036898565624142066
126,0.031598472050973214,0.03364333027275279,0.029938803032564465,0.03837857331382111
132,0.0341912689327728,0.03530009115638677,0.029373671670327894,0.03267680924182059
138,0.03791248705238104,0.03463236597599462,0.03358146311802557,0.03189189766999334
144,0.03431886532052886,0.03673411455383757,0.031407497692271136,0.04548311882535927
150,0.0331447145799757,0.033465039890870685,0.028366532540530898,0.03680082363280235
156,0.04492421662143897,0.03198130291275447,0.029519176736357622,0.035731704148929566
162,0.03130837048229296,0.03380223177373409,0.02814217305422062,0.03319592823390849
168,0.032544832763960585,0.03880765408030129,0.027450499808765016,0.03332368160772603
174,0.03204795667261351,0.03361372115614358,0.027287332275591325,0.04155668924795464
180,0.032491942271008156,0.048846669582417235,0.02935627276019659,0.03572932210227009
