step,BaseCN8,BaseCN1,BaseWeak,BaseShuffle
0,0.8128798566467594,0.8157055672636488,0.8128798566467594,0.8128798566467594
6,0.7668884662416531,0.8343168791616336,0.7665586301591247,0.7908286755555309
12,0.8319349479861557,0.8190101241343655,0.8029653187986696,0.8257091813138686
18,0.8786464720033109,0.8248763956362382,0.8649400100111961,0.898669664748013
24,0.9130938267335296,0.8019805709482171,0.8658783121500164,0.8734950637444854
30,0.9049662165343761,0.8274224846973084,0.9098711974802427,0.9191109016537666
36,0.9109819959849119,0.8660655562998727,0.9359494289383292,0.9020736473612487
42,0.9189537642523646,0.8721808230038732,0.9000703956262441,0.9243714166805148
48,0.9389390237629414,0.893427568487823,0.915988290682435,0.9264965280890465
54,0.9195425426587462,0.8859224400293897,0.9256365355104208,0.9131437207106501
60,0.9200028581544757,0.8611271939007565,0.9183052591979504,0.9201692822389305
66,0.922366838902235,0.9132420113310218,0.9288234300911427,0.9282639417797327
72,0.908917039167136,0.8963111909106374,0.9342816611751914,0.918527210393222
78,0.9059701734222472,0.9170003179460764,0.8954963886644691,0.893691640580073
84,0.92216716427356,0.9157266360707581,0.9245883394032717,0.9149030023254454
90,0.9371062209829688,0.921176340430975,0.9379812013357878,0.923549011349678
96,0.9360661320388317,0.9206590282265097,0.9308346416801214,0.9237664653919637
102,0.9334381204098463,0.8972332329140045,0.9403633745387197,0.9417623784393072
108,0.9340679598972201,0.8952258860226721,0.9238535901531577,0.9390218881890178
114,0.9266687333583832,0.9227013885974884,0.9232845474034548,0.9131877338513732
120,0.922193550504744,0.9267587102949619,0.928579144179821,0.9351435462012887
126,0.9414807576686144,0.927851403132081,0.9402183946222067,0.9204916326561943
132,0.9353739572688937,0.9186223549768329,0.9334015613421798,0.9296518685296178
138,0.9355494165793061,0.9366980446502566,0.9289684537798166,0.9246785631403327
144,0.9357049912214279,0.9246619399636984,0.9301995560526848,0.9093756261281669
150,0.92982386238873,0.933932420797646,0.9449740350246429,0.916900304146111
156,0.9166421312838793,0.9323306931182742,0.9315159637480974,0.9294458711519837
162,0.9362233579158783,0.9286851165816188,0.9445648062974215,0.941072610206902
168,0.9328654445707798,0.9215617296285927,0.931062126532197,0.9198596673086286
174,0.9451875295490026,0.9188655931502581,0.9388493951410055,0.9349313005805016
180,0.9330873591825366,0.900273151230067,0.943669275380671,0.9213907327502966
