slug,paper_label,short_label,family,kind,step0_score,final_score,score_gain,best_step,best_score,final_response_length,final_answer_tail_confidence,final_low_confidence_token_ratio,final_token_entropy_mean,final_eos_prob_final,final_top1_prob_mean
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,0.3745,0.57325,0.19875000000000004,156,0.57525,603.078125,0.9330873591825366,0.032491942271008156,0.1838827544124797,0.9880379629321396,0.9354296224191785
base_full,Base full-data,Base full,Base,full-data,0.3745,0.6105,0.23600000000000004,180,0.6105,536.0,0.9319833125919104,0.03080470369604882,0.17184821492992342,0.9548670652879994,0.9378436077386141
base_n1,Base small-group ablation (n=1),Base n=1,Base,one-shot,0.363,0.547,0.18400000000000005,174,0.559,580.4375,0.900273151230067,0.048846669582417235,0.2811008564895019,0.9214564015991032,0.9226808473467827
base_weak,Base weak-regularization variant,Base weak-reg.,Base,one-shot,0.3745,0.57475,0.20024999999999998,174,0.5765,578.609375,0.943669275380671,0.02935627276019659,0.15632654924411327,0.9737787619248194,0.9436556342989206
base_random,Base corrupted-reward control,Base random-reward,Base,control,0.363,0.00025,-0.36275,0,0.363,1192.359375,7.381637497871907e-05,1.0,11.546642050147057,0.000919751329945484,0.0021174618450459093
instr_n8,Instruct baseline (n=8),Instruct n=8,Instruct,one-shot,0.68375,0.68725,0.0035000000000000586,162,0.6995,470.34375,0.9571306044235826,0.018683212936593918,0.1322405325481668,0.9925984116271138,0.9634320987388492
instr_full,Instruct full-data,Instruct full,Instruct,full-data,0.68375,0.70175,0.018000000000000016,144,0.70625,452.6875,0.9673392567783594,0.011513362445839448,0.08373942275648005,0.9982896381989121,0.970998041331768
