step,score,response_length,answer_tail_confidence,low_confidence_token_ratio,token_entropy_mean,eos_prob_final,top1_prob_mean
0,0.363,762.75,0.8157055672636488,0.11023128501255997,0.6334195281378925,0.7781918246637679,0.8562504909932613
6,0.35475,773.65625,0.7676221834262833,0.11045990968705155,0.5936047126306221,0.7046507628812819,0.8551595318131149
12,0.23275,680.5625,0.5541378159487067,0.2936038179032039,1.968125903280452,0.45972939935297474,0.6828467348823324
18,0.023,1107.1875,0.236335011482538,0.7141693410812877,6.644923973508412,0.08689351171649312,0.2936655760568101
24,0.00425,940.265625,0.06849183340349896,0.9011527001857758,9.046765041537583,0.031215773986077788,0.11379057237354573
30,0.002,1084.296875,0.008591158978731528,0.9714434333145618,10.627667210996151,0.014269282817735984,0.03221950169245247
36,0.00025,1186.234375,0.025526041723068715,0.9665122395381331,10.592494286596775,0.0358272858019566,0.039147924220742425
42,0.0,1312.78125,0.011773710662538406,0.9850578773766756,10.951852172613144,0.0006920335878431716,0.019592259548517177
48,0.00025,1256.25,0.001484071776900464,0.997415971942246,11.198080003261566,0.005678854747719342,0.008139968998875702
54,0.00025,1422.984375,0.00022657742762532962,0.9995127897709608,11.401242464780807,0.0021985930911228024,0.0030527222788805375
60,0.0,1327.859375,0.000137237867718909,0.9983179653063416,11.351502895355225,0.0009057593399006691,0.00478621203910734
66,0.00025,1378.703125,8.116539206071138e-05,0.9997258316725492,11.44954951107502,0.00041992133265011944,0.002473973689120612
72,0.00025,1394.796875,0.009149179893370274,0.9956745766103268,11.355910047888756,0.000538381636509655,0.007441751329679391
78,0.0,1239.5625,0.00020373239038917745,0.9998593777418137,11.396125301718712,0.0010553220931797114,0.004179086983640445
84,0.00025,1305.078125,0.0007983828624702483,0.9983389284461737,11.435053154826164,0.0008806665711063033,0.003473815688266768
90,0.00025,1174.265625,0.00019813053016548565,0.9998636757954955,11.440092265605927,0.0006613555549392913,0.0037617919297190383
96,0.0,1553.5625,7.483589750734154e-05,0.9996798392385244,11.519321516156197,0.0006422332597821878,0.002064758929918753
102,0.0,1374.078125,5.0303833887710425e-05,0.9995343144983053,11.513608381152153,0.0004421998381189951,0.0023434356389770983
108,0.0,1238.21875,0.00044966927760015096,0.9988281931728125,11.450355216860771,0.001040143948785044,0.003648760000942275
114,0.0,1618.859375,0.00019745233753099,0.9999522175639868,11.52399680018425,0.0003827810905931983,0.0021005793860240374
120,0.0,1359.1875,0.00027760376326568803,0.9996793558821082,11.504664704203606,0.0038723441056944807,0.0026213518485747045
126,0.0,1435.71875,0.004166069090487667,0.9994049072265625,11.529197037220001,0.0003525146997951367,0.002367822862652247
132,0.0,1269.6875,0.00015129707252725666,0.9999470878392458,11.499087616801262,0.0009712695113677228,0.002609814706374891
138,0.0,1292.671875,0.014512075796702106,0.9991558454930782,11.508388802409172,0.01662123623680145,0.003070743510761531
144,0.0,1502.84375,3.788904821533379e-05,0.9999471558257937,11.549695640802383,0.0004504928992901114,0.0019146429094689665
150,0.0,1260.484375,6.063225376351511e-05,0.9999923706054688,11.532356694340706,0.0007900970392711315,0.002106520843881299
156,0.0,1469.21875,0.0001521583400290183,0.9999923706054688,11.541123285889626,0.0007784785935314176,0.002244998335299897
162,0.00025,1427.125,0.0002925307263836885,0.9994570259004831,11.53378663957119,0.0006323509270487193,0.002654747882843367
168,0.0,1313.609375,0.000162703500265593,0.9999847412109375,11.531799972057343,0.0009245046654200451,0.0024098206813505385
174,0.0,1474.046875,6.63319338087831e-05,1.0,11.5595773011446,0.0004235699538241988,0.0019033643275179202
180,0.00025,1192.359375,7.381637497871907e-05,1.0,11.546642050147057,0.000919751329945484,0.0021174618450459093
