slug,paper_label,short_label,family,kind,step,sample_count,score,response_length,answer_tail_confidence,low_confidence_token_ratio,token_entropy_mean,eos_prob_final,top1_prob_mean
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,0,4000,0.3745,812.46875,0.8128798566467594,0.11598829957074486,0.6752286916598678,0.7339566613322962,0.851113623008132
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,6,4000,0.382,698.65625,0.7668884662416531,0.14109647474833764,0.8066158210858703,0.739394992741186,0.8311329013668001
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,12,4000,0.43,743.46875,0.8319349479861557,0.08824557658226695,0.47673674626275897,0.7481836999542286,0.8756108954548836
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,18,4000,0.46575,644.78125,0.8786464720033109,0.05495313946448732,0.2944646544056013,0.8957414054737266,0.9078120840713382
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,24,4000,0.4995,738.265625,0.9130938267335296,0.03978084806294646,0.22201628529001027,0.8722198426553994,0.9238011660054326
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,30,4000,0.52,588.578125,0.9049662165343761,0.04640979180112481,0.242325208382681,0.9371344637752536,0.9203668916597962
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,36,4000,0.52425,675.40625,0.9109819959849119,0.03663162210432347,0.2025389806367457,0.8912587641495547,0.9314999431371689
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,42,4000,0.53175,651.75,0.9189537642523646,0.03459399600978941,0.18497027596458793,0.9327224666854994,0.9351303735747933
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,48,4000,0.5385,676.703125,0.9389390237629414,0.035285582300275564,0.18893298192415386,0.9129521880671254,0.9338262099772692
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,54,4000,0.53825,603.390625,0.9195425426587462,0.03713964567577932,0.20229043427389115,0.9335726830807504,0.9288392327725887
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,60,4000,0.54425,702.109375,0.9200028581544757,0.037801241502165794,0.20124031440354884,0.9015409720891815,0.9317056275904179
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,66,4000,0.54475,654.734375,0.922366838902235,0.03767411582521163,0.200541608966887,0.9170840631255058,0.9321201676502824
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,72,4000,0.55325,634.8125,0.908917039167136,0.04006681551982183,0.21517037181183696,0.9490040593055546,0.9280230337753892
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,78,4000,0.54975,622.921875,0.9059701734222472,0.043253854011709336,0.22720067913178355,0.9163794664873485,0.9261658620089293
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,84,4000,0.539,590.765625,0.92216716427356,0.03472364576009568,0.19369652785826474,0.9511014723183255,0.9320613890886307
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,90,4000,0.55425,676.890625,0.9371062209829688,0.03430329651746433,0.18705164000857621,0.9150621950843607,0.9339239513501525
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,96,4000,0.568,566.65625,0.9360661320388317,0.03379355293145636,0.17999723728280514,0.9927485687658191,0.9367137467488647
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,102,4000,0.56,603.21875,0.9334381204098463,0.03129536276537692,0.18202700780238956,0.9148394040888944,0.9353210087865591
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,108,4000,0.5635,650.21875,0.9340679598972201,0.03585620228841435,0.19290429120883346,0.926795135589651,0.9323307182639837
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,114,4000,0.56175,612.390625,0.9266687333583832,0.04099388972099405,0.20996573357842863,0.9396318198022262,0.9292523255571723
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,120,4000,0.55625,620.359375,0.922193550504744,0.03463671317513217,0.1866695397766307,0.909518913273481,0.9339074762538075
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,126,4000,0.5535,536.859375,0.9414807576686144,0.031598472050973214,0.1697519402951002,0.9794417827169362,0.9393982877954841
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,132,4000,0.56175,621.546875,0.9353739572688937,0.0341912689327728,0.18935467902338132,0.8983816960168635,0.9339913353323936
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,138,4000,0.5495,590.46875,0.9355494165793061,0.03791248705238104,0.19956349255517125,0.9792639754365005,0.9306566771119833
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,144,4000,0.57225,629.640625,0.9357049912214279,0.03431886532052886,0.19197559193708003,0.965826200210513,0.9348732493817806
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,150,4000,0.55925,572.328125,0.92982386238873,0.0331447145799757,0.17058470577467233,0.9665612820535898,0.938856752589345
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,156,4000,0.57525,605.453125,0.9166421312838793,0.04492421662143897,0.23028212133795023,0.961227006471755,0.9246428301557899
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,162,4000,0.5715,562.5,0.9362233579158783,0.03130837048229296,0.18457860965281725,0.9623467060940467,0.9348048437386751
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,168,4000,0.57475,590.796875,0.9328654445707798,0.032544832763960585,0.1835075446870178,0.943575949879627,0.9357871850952506
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,174,4000,0.575,588.078125,0.9451875295490026,0.03204795667261351,0.17613123124465346,0.9738147202946188,0.9370295982807875
base_n8,Base baseline (n=8),Base n=8,Base,one-shot,180,4000,0.57325,603.078125,0.9330873591825366,0.032491942271008156,0.1838827544124797,0.9880379629321396,0.9354296224191785
base_full,Base full-data,Base full,Base,full-data,0,4000,0.3745,812.46875,0.8128798566467594,0.11598829957074486,0.6752286916598678,0.7339566613322962,0.851113623008132
base_full,Base full-data,Base full,Base,full-data,6,4000,0.3925,753.46875,0.8455115669639781,0.08708693491644226,0.46229055314324796,0.7531289383335183,0.8787805745378137
base_full,Base full-data,Base full,Base,full-data,12,4000,0.41625,666.96875,0.8586564231663942,0.09873599305865355,0.5400761215714738,0.8238991754799696,0.8693388886749744
base_full,Base full-data,Base full,Base,full-data,18,4000,0.429,777.140625,0.8608301216736436,0.07786253016092815,0.44417190726380795,0.7960575813539841,0.882310139015317
base_full,Base full-data,Base full,Base,full-data,24,4000,0.44625,676.0625,0.8107468814705499,0.10703501765965484,0.6029473504750058,0.8407190838211357,0.8664964393246919
base_full,Base full-data,Base full,Base,full-data,30,4000,0.4675,650.46875,0.8959756098920479,0.058335019362857565,0.3333506070775911,0.9208786577436641,0.9057336770929396
