experiment,experiment_label,traced_tokens_0,traced_tokens_180,logprob_0,logprob_180,prob_0,prob_180,entropy_0,entropy_180,logprob_delta_from_rollout_0,logprob_delta_from_rollout_180,abs_logprob_delta_from_rollout_0,abs_logprob_delta_from_rollout_180,eos_prob_0,eos_prob_180,top1_prob_0,top1_prob_180,top5_mass_0,top5_mass_180,chosen_is_top1_0,chosen_is_top1_180,eos_in_topk_0,eos_in_topk_180,eos_is_top1_0,eos_is_top1_180,logprob_delta_final_minus_step0,prob_delta_final_minus_step0,entropy_delta_final_minus_step0,eos_prob_delta_final_minus_step0,top1_prob_delta_final_minus_step0,top5_mass_delta_final_minus_step0,chosen_is_top1_delta_final_minus_step0
base_full,Base-Full,768,768,-0.5924367917080721,-0.225111852089564,0.7929173170576967,0.8907880562266351,0.5943805910646915,0.20360816518465677,0.0003646043815395868,0.0009379454064027404,0.010309678963167071,0.006456861068585618,0.00035949889603348675,5.3405558690074314e-08,0.8484338839771226,0.9246000051692439,0.9558053546675764,0.9969528576356493,0.8450520833333334,0.9270833333333334,0.026041666666666668,0.040364583333333336,0.0,0.0,0.3673249396185081,0.0978707391689384,-0.3907724258800348,-0.0003594454904747967,0.0761661211921213,0.0411475029680729,0.08203125
base_oneshot,Base-OneShot,768,768,-0.5924367917080721,-0.20750895887613297,0.7929173170576967,0.8918917110859184,0.5943805910646915,0.2058587297797203,0.0003646043815395868,-0.0001702191171809586,0.010309678963167071,0.005993316750621536,0.00035949889603348675,6.915082624707186e-08,0.8484338839771226,0.9224101020760523,0.9558053546675764,0.997117624959918,0.8450520833333334,0.9166666666666666,0.026041666666666668,0.029947916666666668,0.0,0.0,0.3849278328319391,0.09897439402822161,-0.38852186128497124,-0.0003594297452072397,0.07397621809892974,0.041312270292341524,0.07161458333333326
instruct_full,Instruct-Full,768,768,-0.15575507779916128,-0.08139011512200038,0.914486179225302,0.9559058174221112,0.1537978375951449,0.07782018433014552,-0.0005064385840153803,0.0006950428593708036,0.0058148756289209775,0.0024522126163358895,1.1572831411404158e-08,4.660105377131638e-09,0.9436864496286338,0.9704943847997735,0.9990718478346335,0.9998499548197262,0.9375,0.96875,0.0,0.0,0.0,0.0,0.0743649626771609,0.04141963819680927,-0.07597765326499938,-6.9127260342725205e-09,0.026807935171139663,0.0007781069850926192,0.03125
instruct_oneshot,Instruct-OneShot,768,768,-0.15575507779916128,-0.11223553866147995,0.914486179225302,0.9391409855488746,0.1537978375951449,0.11194090793530147,-0.0005064385840153803,3.4967923290413205e-05,0.0058148756289209775,0.0034500224617854125,1.1572831411404158e-08,4.973174160980448e-09,0.9436864496286338,0.9579520227853209,0.9990718478346335,0.9996236711948927,0.9375,0.953125,0.0,0.0,0.0,0.0,0.043519539137681335,0.024654806323572642,-0.04185692965984343,-6.59965725042371e-09,0.014265573156687084,0.0005518233602591627,0.015625
