slug,paper_label,plot_key,family,variant,step,sample_count,traced_count,traced_ratio,score,response_length,answer_tail_confidence,low_confidence_token_ratio,token_entropy_mean,eos_prob_final,top1_prob_mean
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,0,4000,8,0.002,0.3745,812.46875,0.8128798566467594,0.1159882995707448,0.6752286916598678,0.7339566613322962,0.851113623008132
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,6,4000,8,0.002,0.382,698.65625,0.7668884662416531,0.1410964747483376,0.8066158210858703,0.739394992741186,0.8311329013668001
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,12,4000,8,0.002,0.43,743.46875,0.8319349479861557,0.0882455765822669,0.4767367462627589,0.7481836999542286,0.8756108954548836
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,18,4000,8,0.002,0.46575,644.78125,0.8786464720033109,0.0549531394644873,0.2944646544056013,0.8957414054737266,0.9078120840713382
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,24,4000,8,0.002,0.4995,738.265625,0.9130938267335296,0.0397808480629464,0.2220162852900102,0.8722198426553994,0.9238011660054326
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,30,4000,8,0.002,0.52,588.578125,0.904966216534376,0.0464097918011248,0.242325208382681,0.9371344637752536,0.9203668916597962
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,36,4000,8,0.002,0.52425,675.40625,0.910981995984912,0.0366316221043234,0.2025389806367457,0.8912587641495547,0.9314999431371688
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,42,4000,8,0.002,0.53175,651.75,0.9189537642523646,0.0345939960097894,0.1849702759645879,0.9327224666854994,0.9351303735747932
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,48,4000,8,0.002,0.5385,676.703125,0.9389390237629414,0.0352855823002755,0.1889329819241538,0.9129521880671254,0.9338262099772692
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,54,4000,8,0.002,0.53825,603.390625,0.9195425426587462,0.0371396456757793,0.2022904342738911,0.9335726830807504,0.9288392327725888
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,60,4000,8,0.002,0.54425,702.109375,0.9200028581544756,0.0378012415021657,0.2012403144035488,0.9015409720891816,0.931705627590418
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,66,4000,8,0.002,0.54475,654.734375,0.922366838902235,0.0376741158252116,0.200541608966887,0.9170840631255058,0.9321201676502824
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,72,4000,8,0.002,0.55325,634.8125,0.908917039167136,0.0400668155198218,0.2151703718118369,0.9490040593055546,0.9280230337753892
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,78,4000,8,0.002,0.54975,622.921875,0.9059701734222472,0.0432538540117093,0.2272006791317835,0.9163794664873484,0.9261658620089293
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,84,4000,8,0.002,0.539,590.765625,0.92216716427356,0.0347236457600956,0.1936965278582647,0.9511014723183256,0.9320613890886308
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,90,4000,8,0.002,0.55425,676.890625,0.9371062209829688,0.0343032965174643,0.1870516400085762,0.9150621950843608,0.9339239513501524
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,96,4000,8,0.002,0.568,566.65625,0.9360661320388316,0.0337935529314563,0.1799972372828051,0.9927485687658192,0.9367137467488648
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,102,4000,8,0.002,0.56,603.21875,0.9334381204098464,0.0312953627653769,0.1820270078023895,0.9148394040888944,0.9353210087865592
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,108,4000,8,0.002,0.5635,650.21875,0.93406795989722,0.0358562022884143,0.1929042912088334,0.926795135589651,0.9323307182639836
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,114,4000,8,0.002,0.56175,612.390625,0.9266687333583832,0.040993889720994,0.2099657335784286,0.9396318198022262,0.9292523255571724
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,120,4000,8,0.002,0.55625,620.359375,0.922193550504744,0.0346367131751321,0.1866695397766307,0.909518913273481,0.9339074762538075
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,126,4000,8,0.002,0.5535,536.859375,0.9414807576686144,0.0315984720509732,0.1697519402951002,0.9794417827169362,0.939398287795484
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,132,4000,8,0.002,0.56175,621.546875,0.9353739572688936,0.0341912689327728,0.1893546790233813,0.8983816960168635,0.9339913353323936
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,138,4000,8,0.002,0.5495,590.46875,0.935549416579306,0.037912487052381,0.1995634925551712,0.9792639754365003,0.9306566771119832
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,144,4000,8,0.002,0.57225,629.640625,0.935704991221428,0.0343188653205288,0.19197559193708,0.965826200210513,0.9348732493817806
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,150,4000,8,0.002,0.55925,572.328125,0.92982386238873,0.0331447145799757,0.1705847057746723,0.9665612820535898,0.938856752589345
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,156,4000,8,0.002,0.57525,605.453125,0.9166421312838792,0.0449242166214389,0.2302821213379502,0.961227006471755,0.92464283015579
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,162,4000,8,0.002,0.5715,562.5,0.9362233579158784,0.0313083704822929,0.1845786096528172,0.9623467060940468,0.9348048437386752
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,168,4000,8,0.002,0.57475,590.796875,0.9328654445707798,0.0325448327639605,0.1835075446870178,0.943575949879627,0.9357871850952506
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,174,4000,8,0.002,0.575,588.078125,0.9451875295490026,0.0320479566726135,0.1761312312446534,0.9738147202946188,0.9370295982807876
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,180,4000,8,0.002,0.57325,603.078125,0.9330873591825366,0.0324919422710081,0.1838827544124797,0.9880379629321396,0.9354296224191784
