formal_label,run_name,run_id,step,training_global_step,actor_entropy,actor_kl_loss,actor_ppo_kl,actor_pg_loss,train_response_length_mean,val_reward_mean,val_reward_pass1,val_aux_response_length_mean,val_token_entropy_mean,val_low_confidence_ratio,val_token_response_length_mean,val_top1_prob_mean,val_eos_prob_mean,val_topk_mass_mean,val_analyzed_samples,val_analyzed_sample_fraction
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,81,81.0,0.136365070939064,0.0018052105369861,9.718072499254048e-05,-218.85402917861936,546.796875,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,82,82.0,0.1400072574615478,0.0018801394617184,7.831113612155605e-05,-217.3317213058472,578.125,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,83,83.0,0.1421774923801422,0.0020624127355404,-7.638996487457916e-05,-225.10708928108212,577.46875,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,84,84.0,0.1321932077407837,0.0022894724825164,8.349806194019038e-06,-235.1818950176239,584.296875,0.512,0.512,649.46875,0.2835392753044187,0.0548525236972525,649.46875,0.9076877858855236,0.0015103385391766,0.9883701971656392,64.0,0.128
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,85,85.0,0.1357350200414657,0.0019218179368181,-0.0002023841019536,-216.0869874954224,591.140625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,86,86.0,0.128153920173645,0.0020972335696569,-8.800335592695774e-06,-246.72616147994995,518.71875,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,87,87.0,0.1245747730135917,0.0020728899835376,0.0001644627045607,-236.8716640472412,539.671875,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,88,88.0,0.1396254599094391,0.0023900963496998,-0.0001612457039747,-212.57179236412048,544.28125,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,89,89.0,0.1285610347986221,0.0021624688597512,-9.525996847514762e-05,-227.2629313468933,567.796875,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,90,90.0,0.1385771483182907,0.0022201863321242,0.0002467995152528,-235.71044087409973,561.328125,0.514,0.514,618.765625,0.273910335921172,0.0512865836721294,618.765625,0.9107490438020748,0.0014843321198704,0.9890334328564516,64.0,0.128
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,91,91.0,0.1403830200433731,0.002051915609627,-4.6961597433892166e-05,-223.2295277118683,591.046875,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,92,92.0,0.1268686056137085,0.0023433471433236,0.0002361240171921,-235.22467684745789,564.234375,,,,,,,,,,,
