formal_label,run_name,run_id,step,training_global_step,actor_entropy,actor_kl_loss,actor_ppo_kl,actor_pg_loss,train_response_length_mean,val_reward_mean,val_reward_pass1,val_reward_pass8,val_reward_best8_mean,val_aux_response_length_mean,val_token_entropy_mean,val_low_confidence_ratio,val_token_response_length_mean,val_top1_prob_mean,val_eos_prob_mean,val_topk_mass_mean,val_analyzed_samples,val_analyzed_sample_fraction
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,24,24.0,0.167300283908844,5.9914503992786194e-05,2.762891988794536e-05,0.0003232448683831,627.818359375,0.4995,0.4995,0.814,0.769834,738.265625,0.2464454726932258,0.0458210755783191,738.265625,0.9186989816676427,0.0011899589635891,0.9904327486231934,64.0,0.016
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,25,25.0,0.1697885990142822,5.8842293384486766e-05,-3.4399669351148354e-05,0.0002504021439335,613.578125,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,26,26.0,0.1524195969104766,5.926507621367705e-05,6.953996563296982e-05,0.0001381753284022,593.306640625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,27,27.0,0.1516104489564895,6.226827814970193e-05,4.712782083027278e-05,0.0002006865099133,587.697265625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,28,28.0,0.1480681598186493,6.537629742808804e-05,4.837803333046509e-05,0.0003223659788318,590.375,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,29,29.0,0.1501433849334716,6.746107057864492e-05,-1.4399561791833548e-06,0.0001556657584842,587.806640625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,30,30.0,0.2003516107797622,6.963899207335089e-05,3.3559347158984565e-06,0.0003538788823789,600.953125,0.52,0.52,0.822,0.781636,588.578125,0.2563005970086995,0.0501473360057341,588.578125,0.917759100743794,0.0016452185444908,0.9888720189975356,64.0,0.016
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,31,31.0,0.1524740904569626,7.306463285772224e-05,-3.451049214630783e-05,0.0003182848151936,587.740234375,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,32,32.0,0.1425280272960662,7.956330664882216e-05,-5.820378904175527e-06,0.0002681595033209,579.353515625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,33,33.0,0.1510598808526992,8.086300168486105e-05,2.888985679616596e-05,0.0003027520999694,591.263671875,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,34,34.0,0.1402254998683929,7.983493235741435e-05,-2.073705553429228e-05,0.0002191911453337,579.130859375,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,35,35.0,0.1387497037649154,8.498402928580617e-05,2.239504365264544e-05,0.0001996243099711,579.49609375,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,36,36.0,0.1347865462303161,8.596098504654037e-05,-2.8102396321116885e-07,0.0002124837938026,575.65625,0.52425,0.52425,0.81,0.7693540000000001,675.40625,0.2089742891208128,0.0386110211446814,675.40625,0.9294913423467872,0.0013419199486452,0.9931441370475542,64.0,0.016
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,37,37.0,0.133776843547821,8.70725144253015e-05,1.971781860987676e-05,0.0002328166083316,572.451171875,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,38,38.0,0.1425729990005493,8.408211678556654e-05,-1.8781989077787387e-05,0.0003241816780246,588.04296875,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,39,39.0,0.1356109380722046,9.33084596539402e-05,1.834858278737528e-05,0.0003036665866602,582.3125,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,40,40.0,0.1419957429170608,8.588870194614628e-05,3.033955516595909e-05,0.0002004912703341,564.1796875,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,41,41.0,0.1309947520494461,8.899912117499298e-05,-3.5672504480555034e-05,0.0002693675342015,575.28125,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,42,42.0,0.1346390694379806,9.485515897011965e-05,-3.335783093499911e-05,0.0001792922817003,575.1171875,0.53175,0.53175,0.806,0.766612,651.75,0.1932331977057008,0.037710970464135,651.75,0.9338590035184298,0.0014801178998879,0.9939394326424024,64.0,0.016
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,43,43.0,0.1305647641420364,9.257582281207988e-05,-1.854495545572377e-05,0.0002078669972433,570.154296875,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,44,44.0,0.1284130960702896,9.353492128383324e-05,2.9840802159952773e-05,0.0002074444209938,571.04296875,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,45,45.0,0.1367716193199157,9.688658251150172e-05,-1.881292200200945e-05,0.0003069651620535,582.00390625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,46,46.0,0.1336818635463714,0.0001004675392834,4.528328478854704e-05,0.0003041963973373,571.544921875,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,47,47.0,0.1257020682096481,9.973636727522715e-05,1.396637138384449e-06,0.0002300000660397,560.017578125,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,48,48.0,0.1278594732284546,0.0001013245445662,9.834223567484202e-06,0.000174621068254,555.39453125,0.5385,0.5385,0.798,0.7635239999999999,676.703125,0.2059295874675377,0.0395991595280426,676.703125,0.9306379257153176,0.0013583188115227,0.9929432562766164,64.0,0.016
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,49,49.0,0.1355453580617904,0.0001007790271074,1.757578242589375e-05,0.000269889737865,572.39453125,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,50,50.0,0.130728930234909,0.000103004044675,-3.2035061439117385e-05,0.0003613057951952,572.0625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,51,51.0,0.1250381767749786,0.0001061181177703,5.886733721460757e-05,0.0002493445917934,565.73046875,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,52,52.0,0.1442138105630874,0.000106314086949,-1.001997984673153e-05,0.0003784610580623,582.431640625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,53,53.0,0.1256172806024551,0.0001109273261334,2.1618811418822048e-05,0.0002637543248056,558.603515625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,54,54.0,0.1287775337696075,0.0001090356066555,2.0045575062077603e-05,0.0002147796903955,560.931640625,0.53825,0.53825,0.818,0.7803859999999999,603.390625,0.2015971676135269,0.0368749514462542,603.390625,0.9295992355490904,0.0015892146385126,0.994634252377768,64.0,0.016
