step,position_bucket,token_count,logprob,logprob_min,logprob_max,prob,prob_min,prob_max,entropy,entropy_min,entropy_max,eos_prob,eos_prob_min,eos_prob_max,top1_prob,top1_prob_min,top1_prob_max,topk_mass,topk_mass_min,topk_mass_max
0,0,10447,-0.5834870894261855,-15.607287406921387,0.0,0.7758192270687051,1.6666376723151188e-07,1.0,0.5990665811157093,1.6756561649344803e-07,9.343642234802246,0.00010559591372484831,1.2134455766588115e-12,0.09357871860265732,0.8313613677379719,0.028129063546657562,1.0,0.9735688700069591,0.08524006605148315,1.000000238418579
0,1,10391,-0.5052069619475625,-17.425376892089844,0.0,0.8097220665750454,2.7055461870872932e-08,1.0,0.5070200087129825,2.3507292112867617e-08,9.666959762573242,5.759853074177392e-05,1.2936372096829978e-15,0.07380262762308121,0.858848536997272,0.009477488696575165,1.0,0.9771510376965572,0.04226876050233841,1.000000238418579
0,2,10404,-0.5899453352954757,-15.771905899047852,0.0,0.8063172253786416,1.4136708159639966e-07,1.0,0.594471436083893,1.5955968768466278e-09,10.311081886291504,0.00016319189680132139,1.482821336855421e-17,0.36811187863349915,0.8529550843047331,0.0038320389576256275,1.0,0.9637255456285342,0.017435533925890923,1.000000238418579
0,3,10389,-0.7020984455437238,-16.935222625732422,0.0,0.7917075813736115,4.416988375055553e-08,1.0,0.7031133697512573,1.4457821051472308e-10,9.541735649108887,0.00012159611287446916,1.0308324793635831e-19,0.13650880753993988,0.8383929960259163,0.014516373164951801,1.0,0.9520618428591529,0.058486208319664,1.000000238418579
0,4,10372,-0.6927443420297984,-16.96295928955078,0.0,0.8077657847701996,4.296159517025444e-08,1.0,0.6921543618286529,6.84849510435015e-10,9.384326934814453,9.510721467129812e-05,1.9421125050902077e-15,0.1337972730398178,0.8504630063701388,0.014157265424728394,1.0,0.9507546385019627,0.06002800166606903,1.000000238418579
0,5,10410,-0.8540127621208967,-16.029619216918945,0.0,0.7858384861601937,1.0925084836799215e-07,1.0,0.8425582704328215,6.924304463140629e-10,9.714197158813477,0.00011862550364058179,3.0080028840472582e-15,0.14491266012191772,0.8308566462157311,0.009328756481409073,1.0,0.9348358575744943,0.04961676523089409,1.0000003576278687
0,6,10404,-0.9011175070056306,-16.918048858642578,0.0,0.7778942786580361,4.493500327384936e-08,1.0,0.8970183321438897,5.699901661770923e-10,10.004945755004883,0.0003670010921955609,2.449904362985747e-16,0.6904496550559998,0.8225199752874398,0.007262465078383684,1.0,0.9288442244517636,0.04564083367586136,1.000000238418579
0,7,10389,-0.8103400106257223,-16.961200714111328,0.0,0.789077342479605,4.303721112819403e-08,1.0,0.8111929108161159,7.688268077732374e-11,9.500777244567871,0.0001921109534322587,2.3461640110425825e-18,0.2060416042804718,0.8349078741203931,0.011499231681227684,1.0,0.9388569065208573,0.055214252322912216,1.000000238418579
0,8,10406,-0.5849048310417895,-16.161943435668945,0.0,0.822846407047746,9.570996439833834e-08,1.0,0.5905970871138099,1.7355127057694375e-10,8.936853408813477,0.0001035271426412773,1.130445142147465e-16,0.08555500209331512,0.8638851909314511,0.012791267596185207,1.0,0.9608017186380603,0.06352411210536957,1.000000238418579
0,9,10332,-0.7683776982374112,-17.730953216552734,0.0,0.8066556682398737,1.9931723826971393e-08,1.0,0.7507272549508829,2.0816320889238682e-11,9.478964805603027,0.0006094633078027685,1.8091675597574716e-19,0.8034057021141052,0.8467590518213648,0.007358809467405081,1.0,0.9408890863770906,0.0389854833483696,1.000000238418579
60,0,7858,-0.3513251625302445,-14.03448486328125,0.0,0.8348997906616487,8.033423455344746e-07,1.0,0.34252106543728145,1.2580708030895948e-08,3.6930065155029297,3.4810386186310246e-07,2.3895344253635487e-13,0.00021171855041757226,0.8833152929984164,0.12272240966558456,1.0,0.9949590868548177,0.6183974146842957,1.000000238418579
60,1,7806,-0.31136860605351313,-12.091890335083008,0.0,0.8577197412416222,5.604782472801162e-06,1.0,0.29326509230603165,1.4770373368833134e-08,4.306972503662109,1.3087155858401806e-06,2.4654052670908255e-13,0.008282163180410862,0.9010902867322469,0.08375715464353561,1.0,0.9951543533821885,0.4228024184703827,1.000000238418579
60,2,7814,-0.26635919941235503,-10.31545352935791,0.0,0.8737133050582789,3.311733962618746e-05,1.0,0.2666537570475245,1.5296185651436645e-08,3.737173080444336,3.411631902774414e-07,2.441044599527792e-14,0.00016073891310952604,0.9091799977279118,0.13455985486507416,1.0,0.9956120412414385,0.5440497398376465,1.000000238418579
60,3,7802,-0.24614462028930567,-13.45138931274414,0.0,0.8825831779418893,1.439248762835632e-06,1.0,0.24906471869512647,2.2450466374834832e-08,5.01572847366333,1.2335964741917533e-06,5.532543078724285e-15,0.0050087361596524715,0.9151029278884956,0.06972748041152954,1.0,0.995950652441591,0.38011234998703003,1.000000238418579
60,4,7784,-0.23578557117091467,-14.952927589416504,0.0,0.8932929592846599,3.206461656191095e-07,1.0,0.23014793035559303,2.3960780026754946e-09,9.420077323913574,3.889686310046948e-05,1.390886459961627e-14,0.10210908949375153,0.9232510669206682,0.039013274013996124,1.0,0.9955608399789723,0.11325083673000336,1.000000238418579
60,5,7829,-0.26964643471442123,-14.283868789672852,0.0,0.8836727125191307,6.260292479964846e-07,1.0,0.26162961638999516,4.897883210119858e-10,10.194838523864746,1.0257108566337884e-05,1.3216241841119047e-16,0.014545279555022717,0.9166319482026105,0.01729288324713707,1.0,0.9934883975277673,0.0762893557548523,1.000000238418579
60,6,7811,-0.25689731053243337,-14.341066360473633,0.0,0.8884587761839123,5.912266942686983e-07,1.0,0.2581324435420469,3.141028059872042e-08,7.10899543762207,1.119671700867689e-05,4.290685760730551e-17,0.021138213574886322,0.9182783081157498,0.03699484094977379,1.0,0.9924457124319352,0.17059701681137085,1.000000238418579
60,7,7805,-0.22946635478451813,-15.45170783996582,0.0,0.893981234100178,1.9471909240564855e-07,1.0,0.22775797526911415,3.0530442063358976e-10,6.960850715637207,0.00014555445812058056,1.2415511155833015e-16,0.8898673057556152,0.9236361683197772,0.06906324625015259,1.0,0.9955922079193218,0.2538655996322632,1.0000003576278687
