step,n_samples,n_cases,score,reward,response_length,token_logprob_mean,token_prob_mean,token_entropy_mean,low_confidence_token_ratio,answer_tail_confidence,eos_prob_mean,eos_prob_final,eos_high_prob_ratio,eos_top1_ratio,top1_prob_mean,top1_prob_final,topk_mass_mean,topk_mass_final
0,128,32,0.3046875,0.3046875,812.0625,-0.7036892220020052,0.789485692092105,0.6981909139514447,0.12544563326588176,0.7754996233141338,0.00026129518308125977,0.0008905946160502214,0.00025465352574905326,0.00023993178126015518,0.8385169222597691,0.7253959971640143,0.9547122710183593,0.9269783652271144
60,128,32,0.6171875,0.6171875,609.921875,-0.2420504682925751,0.8862234753920522,0.239373869925234,0.045210050827160606,0.9220017996163163,8.265826762508981e-05,4.083359077451838e-05,0.00014877084028666406,5.4812185585762866e-05,0.918410504245504,0.8790795699969749,0.99615477564041,0.9914393644430675
120,128,32,0.5859375,0.5859375,608.90625,-0.27232832196227885,0.8836260589150731,0.2710074324520687,0.0492296816206277,0.9066046049913615,9.8125726456185e-06,2.3004536202113172e-05,6.938277087033748e-06,1.0752974352658748e-05,0.9148585668197391,0.9002018090686761,0.9925332841724608,0.9924429171951488
180,128,32,0.6171875,0.6171875,662.890625,-0.21725487323184003,0.8968479130640714,0.21883152372604892,0.03982541086922314,0.906624357700357,8.055485909513047e-05,0.00025859393604182185,0.00021206197647550496,9.611783493968998e-05,0.9255796695973451,0.9105976072605699,0.9961297243484588,0.9882613013032824
