step,training/global_step,training/global_step_timestamp,actor/entropy,actor/entropy_timestamp,actor/ppo_kl,actor/ppo_kl_timestamp,actor/pg_loss,actor/pg_loss_timestamp,response_length/mean,response_length/mean_timestamp,val-core/math500/reward/mean@8,val-core/math500/reward/mean@8_timestamp,val-core/math500/reward/pass@1,val-core/math500/reward/pass@1_timestamp,val-core/math500/reward/pass@8,val-core/math500/reward/pass@8_timestamp,val-core/math500/reward/best@8/mean,val-core/math500/reward/best@8/mean_timestamp,val-aux/math500/response_length/mean@8,val-aux/math500/response_length/mean@8_timestamp,val-token/math500/summary/token_entropy_mean,val-token/math500/summary/token_entropy_mean_timestamp,val-token/math500/summary/low_confidence_token_ratio,val-token/math500/summary/low_confidence_token_ratio_timestamp,val-token/math500/summary/response_length_mean,val-token/math500/summary/response_length_mean_timestamp,val-token/math500/summary/top1_prob_mean,val-token/math500/summary/top1_prob_mean_timestamp,val-token/math500/summary/eos_prob_mean,val-token/math500/summary/eos_prob_mean_timestamp,val-token/math500/summary/topk_mass_mean,val-token/math500/summary/topk_mass_mean_timestamp,val-token/math500/summary/analyzed_samples,val-token/math500/summary/analyzed_samples_timestamp,val-token/math500/summary/analyzed_sample_fraction,val-token/math500/summary/analyzed_sample_fraction_timestamp
18,18.0,1775064854000.0,0.2554158866405487,1775064854000.0,3.596876263856075e-05,1775064854000.0,0.0003220062325226,1775064854000.0,702.1796875,1775064854000.0,0.44025,1775064854000.0,0.44025,1775064854000.0,0.772,1775064854000.0,0.7274680000000001,1775064854000.0,727.34375,1775064854000.0,0.3162074965693128,1775064854000.0,0.060515574650913,1775064854000.0,727.34375,1775064854000.0,0.9028333673364494,1775064854000.0,0.0011659206962275,1775064854000.0,0.984015310842676,1775064854000.0,64.0,1775064854000.0,0.016,1775064854000.0
19,19.0,1775064973000.0,0.2169364988803863,1775064973000.0,-7.780898749865095e-06,1775064973000.0,0.0002364289250129,1775064973000.0,666.490234375,1775064973000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20.0,1775065089000.0,0.2306690663099289,1775065089000.0,4.089580234634127e-05,1775065089000.0,0.0001614561767127,1775065089000.0,641.939453125,1775065089000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21.0,1775065209000.0,0.2341560870409012,1775065209000.0,2.4739315914956705e-05,1775065209000.0,0.0003878316774148,1775065209000.0,691.361328125,1775065209000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22.0,1775065328000.0,0.1907547116279602,1775065328000.0,5.8908743181262935e-05,1775065328000.0,0.0004181158616631,1775065328000.0,677.03515625,1775065328000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23.0,1775065445000.0,0.1772466301918029,1775065445000.0,1.1288905348516565e-05,1775065445000.0,0.0002427409716574,1775065445000.0,660.505859375,1775065445000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24.0,1775065928000.0,0.171433538198471,1775065928000.0,-1.4328618368475432e-05,1775065928000.0,0.0002726878487067,1775065928000.0,628.51953125,1775065928000.0,0.4995,1775065928000.0,0.4995,1775065928000.0,0.81,1775065928000.0,0.7663240000000001,1775065928000.0,754.25,1775065928000.0,0.2996448587415073,1775065928000.0,0.0565752403049386,1775065928000.0,754.25,1775065928000.0,0.9107796700537344,1775065928000.0,0.0010846398923697,1775065928000.0,0.9844820244564376,1775065928000.0,64.0,1775065928000.0,0.016,1775065928000.0
25,25.0,1775066044000.0,0.170351356267929,1775066044000.0,-2.692532208042886e-05,1775066044000.0,0.0003152342097791,1775066044000.0,637.302734375,1775066044000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26.0,1775066160000.0,0.1645254641771316,1775066160000.0,-8.415174555242988e-06,1775066160000.0,0.0002460276688598,1775066160000.0,617.091796875,1775066160000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27.0,1775066277000.0,0.1726542711257934,1775066277000.0,6.663090275502159e-05,1775066277000.0,0.0003819917843443,1775066277000.0,624.796875,1775066277000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28.0,1775066390000.0,0.1523488610982895,1775066390000.0,9.625703340176985e-06,1775066390000.0,0.0001664233016072,1775066390000.0,598.962890625,1775066390000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29.0,1775066507000.0,0.1566343605518341,1775066507000.0,3.114941329548926e-05,1775066507000.0,0.0003503944229805,1775066507000.0,619.501953125,1775066507000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30.0,1775066972000.0,0.153941810131073,1775066972000.0,-1.6688902751638146e-05,1775066972000.0,0.0004505861793404,1775066972000.0,638.173828125,1775066972000.0,0.51825,1775066972000.0,0.51825,1775066972000.0,0.816,1775066972000.0,0.77398,1775066972000.0,775.96875,1775066972000.0,0.5659965292608871,1775066972000.0,0.0846522492046232,1775066972000.0,775.96875,1775066972000.0,0.8862852851093705,1775066972000.0,0.0011192608432453,1775066972000.0,0.956075572088018,1775066972000.0,64.0,1775066972000.0,0.016,1775066972000.0
31,31.0,1775067088000.0,0.1503962576389312,1775067088000.0,3.888293448506275e-05,1775067088000.0,0.0003422982299525,1775067088000.0,616.67578125,1775067088000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32.0,1775067202000.0,0.1379765570163726,1775067202000.0,2.033710341819983e-05,1775067202000.0,0.0001713496330921,1775067202000.0,593.216796875,1775067202000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33.0,1775067317000.0,0.1437024772167205,1775067317000.0,-2.677304511777833e-05,1775067317000.0,0.000217464948264,1775067317000.0,612.115234375,1775067317000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34.0,1775067432000.0,0.162282183766365,1775067432000.0,-4.0158429782444216e-05,1775067432000.0,0.0002191810763179,1775067432000.0,614.40625,1775067432000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
